iso,countryname,continent,population(mil),gdp
ago,Angola,Africa,23.369131088256836,5988.534997149481
bdi,Burundi,Africa,8.766929626464844,731.4232803265862
ben,Benin,Africa,9.199258804321289,1919.9969479963038
bfa,Burkina Faso,Africa,15.605216979980469,1327.2165314775982
bwa,Botswana,Africa,2.0148661136627197,12256.14159052444
caf,Central African Republic,Africa,4.4485249519348145,865.4421867263901
cmr,Cameroon,Africa,19.970495223999023,2684.972890247272
cod,Democratic Republic of the Congo,Africa,64.52326202392578,634.9713963013496
cog,Republic of the Congo,Africa,4.386693000793457,4979.990496069269
com,Comoros,Africa,0.6896920204162598,2292.997969425929
cpv,Cape Verde,Africa,0.5023840069770813,5644.821253339075
dji,Djibouti,Africa,0.8511459827423096,2124.4420625972525
dza,Algeria,Africa,36.117637634277344,12590.224223813591
egy,Egypt,Africa,84.10760498046875,9148.839753298033
eth,Ethiopia,Africa,87.70266723632812,1100.1831875876223
gab,Gabon,Africa,1.6402100324630737,11961.168226448879
gha,Ghana,Africa,24.512104034423828,3931.2918319728856
gin,Guinea,Africa,10.794170379638672,1742.7346742167783
gmb,Gambia,Africa,1.692149043083191,2681.8586168502143
gnb,Guinea-Bissau,Africa,1.5558799505233765,1387.2497310879905
gnq,Equatorial Guinea,Africa,0.9511039853096008,31416.887137501908
ken,Kenya,Africa,41.35015106201172,2484.0349094725366
lbr,Liberia,Africa,3.948124885559082,786.6702306741524
lso,Lesotho,Africa,2.040550947189331,2432.7976546880823
mar,Morocco,Africa,32.409637451171875,6421.937677907418
mdg,Madagascar,Africa,21.151639938354492,1459.9156124535612
mli,Mali,Africa,15.075084686279297,1873.2809618195865
moz,Mozambique,Africa,24.221405029296875,969.2307622526259
mrt,Mauritania,Africa,3.6095430850982666,3082.647028528842
mus,Mauritius,Africa,1.2479549646377563,15178.325920597827
mwi,Malawi,Africa,15.167095184326172,972.0456815116237
nam,Namibia,Africa,2.1731700897216797,7689.171239820006
ner,Niger,Africa,16.42557716369629,845.8693682212395
nga,Nigeria,Africa,158.57826232910156,5186.304307542348
rwa,Rwanda,Africa,10.246842384338379,1379.6993252327009
sdn,Sudan,Africa,34.385963439941406,3608.7856176907358
sen,Senegal,Africa,12.916229248046875,2741.121456198507
sle,Sierra Leone,Africa,6.4587202072143555,1161.8796942144647
swz,Swaziland,Africa,1.2028429508209229,7042.524359035093
syc,Seychelles,Africa,0.0914049968123436,17960.353075613308
tcd,Chad,Africa,11.887202262878418,1880.3748762799714
tgo,Togo,Africa,6.5029520988464355,1222.8150529133295
tun,Tunisia,Africa,10.639930725097656,10647.834980284626
tza,Tanzania,Africa,44.82893753051758,1979.1718644815185
uga,Uganda,Africa,33.91513442993164,1723.5943355766267
zaf,South Africa,Africa,51.58466339111328,11388.640515995063
zmb,Zambia,Africa,13.850032806396484,2870.8872656342314
zwe,Zimbabwe,Africa,14.08631706237793,1479.0305839163732
are,United Arab Emirates,Asia,8.270684242248535,59707.412565389604
arm,Armenia,Asia,2.8773109912872314,8222.945234202914
aze,Azerbaijan,Asia,9.03245735168457,12947.102198682365
bgd,Bangladesh,Asia,152.14910888671875,2411.1020691099325
bhr,Bahrain,Asia,1.2408620119094849,37045.81310919623
brn,Brunei,Asia,0.3886620104312897,67320.89957245934
btn,Bhutan,Asia,0.7276409864425659,7235.18974818538
